image_name,xcoord,ycoord
SWC0689,0,0
SWC0689,0,1440
SWC0689,0,2880
SWC0689,0,4320
SWC0689,1440,0
SWC0689,1440,2880
SWC0689,1440,4320
SWC0689,2880,0
SWC0689,2880,1440
SWC0689,2880,2880
SWC0689,2880,4320
SWC0689,4320,0
SWC0689,4320,1440
SWC0689,4320,2880
SWC0689,4320,4320
SWC0689,5760,0
SWC0689,5760,1440
SWC0689,5760,2880
SWC0689,5760,4320
SWC0689,7200,0
SWC0689,7200,1440
SWC0689,7200,2880
SWC0689,7200,4320
SWC0553,0,0
SWC0553,0,1440
SWC0553,0,2880
SWC0553,0,4320
SWC0553,1440,0
SWC0553,1440,1440
SWC0553,1440,2880
SWC0553,1440,4320
SWC0553,2880,0
SWC0553,2880,1440
SWC0553,2880,2880
SWC0553,2880,4320
SWC0553,4320,0
SWC0553,4320,1440
SWC0553,4320,2880
SWC0553,4320,4320
SWC0553,5760,0
SWC0553,5760,1440
SWC0553,5760,2880
SWC0553,5760,4320
SWC0553,7200,0
SWC0553,7200,1440
SWC0553,7200,2880
SWC0553,7200,4320
SWC1655,0,0
SWC1655,0,1440
SWC1655,0,2880
SWC1655,0,4320
SWC1655,1440,0
SWC1655,1440,1440
SWC1655,1440,2880
SWC1655,1440,4320
SWC1655,2880,0
SWC1655,2880,1440
SWC1655,2880,2880
SWC1655,2880,4320
SWC1655,4320,0
SWC1655,4320,1440
SWC1655,4320,2880
SWC1655,4320,4320
SWC1655,5760,0
SWC1655,5760,1440
SWC1655,5760,2880
SWC1655,5760,4320
SWC1655,7200,0
SWC1655,7200,1440
SWC1655,7200,2880
SWC1655,7200,4320
SWC0601,0,0
SWC0601,0,1440
SWC0601,0,2880
SWC0601,0,4320
SWC0601,1440,0
SWC0601,1440,1440
SWC0601,1440,2880
SWC0601,1440,4320
SWC0601,2880,0
SWC0601,2880,1440
SWC0601,2880,2880
SWC0601,2880,4320
SWC0601,4320,0
SWC0601,4320,1440
SWC0601,4320,2880
SWC0601,4320,4320
SWC0601,5760,0
SWC0601,5760,1440
SWC0601,5760,2880
SWC0601,5760,4320
SWC0601,7200,0
SWC0601,7200,1440
SWC0601,7200,2880
SWC0601,7200,4320
SWC0100,0,0
SWC0100,0,1440
SWC0100,0,2880
SWC0100,0,4320
SWC0100,1440,0
SWC0100,1440,1440
SWC0100,1440,2880
SWC0100,1440,4320
SWC0100,2880,0
SWC0100,2880,1440
SWC0100,2880,2880
SWC0100,2880,4320
SWC0100,4320,0
SWC0100,4320,1440
SWC0100,4320,2880
SWC0100,4320,4320
SWC0100,5760,0
SWC0100,5760,1440
SWC0100,5760,2880
SWC0100,5760,4320
SWC0100,7200,0
SWC0100,7200,1440
SWC0100,7200,2880
SWC0100,7200,4320
SWC1761,0,0
SWC1761,0,1440
SWC1761,0,2880
SWC1761,0,4320
SWC1761,1440,0
SWC1761,1440,1440
SWC1761,1440,2880
SWC1761,1440,4320
SWC1761,2880,0
SWC1761,2880,1440
SWC1761,2880,2880
SWC1761,2880,4320
SWC1761,4320,0
SWC1761,4320,1440
SWC1761,4320,2880
SWC1761,4320,4320
SWC1761,5760,0
SWC1761,5760,1440
SWC1761,5760,2880
SWC1761,5760,4320
SWC1761,7200,0
SWC1761,7200,1440
SWC1761,7200,2880
SWC1761,7200,4320
SWC1338,0,0
SWC1338,0,1440
SWC1338,0,2880
SWC1338,0,4320
SWC1338,1440,0
SWC1338,1440,1440
SWC1338,1440,2880
SWC1338,1440,4320
SWC1338,2880,0
SWC1338,2880,1440
SWC1338,2880,2880
SWC1338,2880,4320
SWC1338,4320,0
SWC1338,4320,1440
SWC1338,4320,2880
SWC1338,4320,4320
SWC1338,5760,0
SWC1338,5760,1440
SWC1338,5760,2880
SWC1338,5760,4320
SWC1338,7200,0
SWC1338,7200,1440
SWC1338,7200,2880
SWC1338,7200,4320
SWC1250,0,0
SWC1250,0,1440
SWC1250,0,2880
SWC1250,0,4320
SWC1250,1440,0
SWC1250,1440,1440
SWC1250,1440,2880
SWC1250,1440,4320
SWC1250,2880,0
SWC1250,2880,1440
SWC1250,2880,2880
SWC1250,2880,4320
SWC1250,4320,0
SWC1250,4320,1440
SWC1250,4320,2880
SWC1250,4320,4320
SWC1250,5760,0
SWC1250,5760,1440
SWC1250,5760,2880
SWC1250,5760,4320
SWC1250,7200,0
SWC1250,7200,1440
SWC1250,7200,2880
SWC1250,7200,4320
SWC1159,0,0
SWC1159,0,1440
SWC1159,0,2880
SWC1159,1440,0
SWC1159,1440,1440
SWC1159,1440,4320
SWC1159,2880,0
SWC1159,2880,1440
SWC1159,2880,2880
SWC1159,2880,4320
SWC1159,4320,0
SWC1159,4320,1440
SWC1159,4320,2880
SWC1159,4320,4320
SWC1159,5760,0
SWC1159,5760,1440
SWC1159,5760,2880
SWC1159,5760,4320
SWC1159,7200,0
SWC1159,7200,1440
SWC1159,7200,2880
SWC1159,7200,4320
SWC0524,0,0
SWC0524,0,1440
SWC0524,0,2880
SWC0524,0,4320
SWC0524,1440,0
SWC0524,1440,1440
SWC0524,1440,2880
SWC0524,1440,4320
SWC0524,2880,0
SWC0524,2880,1440
SWC0524,2880,2880
SWC0524,2880,4320
SWC0524,4320,0
SWC0524,4320,1440
SWC0524,4320,2880
SWC0524,4320,4320
SWC0524,5760,0
SWC0524,5760,1440
SWC0524,5760,2880
SWC0524,5760,4320
SWC0524,7200,0
SWC0524,7200,1440
SWC0524,7200,2880
SWC0524,7200,4320
SWC0602,0,0
SWC0602,0,1440
SWC0602,0,2880
SWC0602,0,4320
SWC0602,1440,0
SWC0602,1440,1440
SWC0602,1440,4320
SWC0602,2880,0
SWC0602,2880,1440
SWC0602,2880,2880
SWC0602,2880,4320
SWC0602,4320,0
SWC0602,4320,2880
SWC0602,4320,4320
SWC0602,5760,0
SWC0602,5760,1440
SWC0602,5760,2880
SWC0602,5760,4320
SWC0602,7200,1440
SWC0602,7200,2880
SWC0602,7200,4320
SWC1722,0,0
SWC1722,0,1440
SWC1722,0,2880
SWC1722,0,4320
SWC1722,1440,0
SWC1722,1440,1440
SWC1722,1440,2880
SWC1722,1440,4320
SWC1722,2880,0
SWC1722,2880,1440
SWC1722,2880,2880
SWC1722,2880,4320
SWC1722,4320,0
SWC1722,4320,1440
SWC1722,4320,2880
SWC1722,4320,4320
SWC1722,5760,0
SWC1722,5760,1440
SWC1722,5760,2880
SWC1722,5760,4320
SWC1722,7200,0
SWC1722,7200,1440
SWC1722,7200,2880
SWC1722,7200,4320
SWC0169,0,0
SWC0169,0,1440
SWC0169,0,2880
SWC0169,0,4320
SWC0169,1440,0
SWC0169,1440,1440
SWC0169,1440,2880
SWC0169,1440,4320
SWC0169,2880,0
SWC0169,2880,1440
SWC0169,2880,2880
SWC0169,2880,4320
SWC0169,4320,0
SWC0169,4320,1440
SWC0169,4320,2880
SWC0169,4320,4320
SWC0169,5760,0
SWC0169,5760,1440
SWC0169,5760,2880
SWC0169,5760,4320
SWC0169,7200,0
SWC0169,7200,1440
SWC0169,7200,2880
SWC0169,7200,4320
SWC0804,0,0
SWC0804,0,1440
SWC0804,0,2880
SWC0804,0,4320
SWC0804,1440,0
SWC0804,1440,1440
SWC0804,1440,2880
SWC0804,1440,4320
SWC0804,2880,0
SWC0804,2880,1440
SWC0804,2880,2880
SWC0804,2880,4320
SWC0804,4320,0
SWC0804,4320,1440
SWC0804,4320,2880
SWC0804,4320,4320
SWC0804,5760,0
SWC0804,5760,1440
SWC0804,5760,2880
SWC0804,5760,4320
SWC0804,7200,0
SWC0804,7200,1440
SWC0804,7200,2880
SWC0804,7200,4320
SWC1248,0,0
SWC1248,0,1440
SWC1248,0,2880
SWC1248,0,4320
SWC1248,1440,0
SWC1248,1440,1440
SWC1248,1440,2880
SWC1248,1440,4320
SWC1248,2880,0
SWC1248,2880,1440
SWC1248,2880,2880
SWC1248,2880,4320
SWC1248,4320,0
SWC1248,4320,1440
SWC1248,4320,2880
SWC1248,4320,4320
SWC1248,5760,0
SWC1248,5760,1440
SWC1248,5760,2880
SWC1248,5760,4320
SWC1248,7200,0
SWC1248,7200,1440
SWC1248,7200,2880
SWC1248,7200,4320
SWC0575,0,0
SWC0575,0,1440
SWC0575,0,2880
SWC0575,1440,0
SWC0575,1440,1440
SWC0575,1440,2880
SWC0575,1440,4320
SWC0575,2880,0
SWC0575,2880,1440
SWC0575,2880,2880
SWC0575,2880,4320
SWC0575,4320,0
SWC0575,4320,1440
SWC0575,4320,2880
SWC0575,4320,4320
SWC0575,5760,0
SWC0575,5760,1440
SWC0575,5760,2880
SWC0575,5760,4320
SWC0575,7200,0
SWC0575,7200,1440
SWC0575,7200,2880
SWC0575,7200,4320
SWC0615,0,0
SWC0615,0,1440
SWC0615,0,2880
SWC0615,0,4320
SWC0615,1440,0
SWC0615,1440,1440
SWC0615,1440,2880
SWC0615,1440,4320
SWC0615,2880,0
SWC0615,2880,1440
SWC0615,2880,2880
SWC0615,2880,4320
SWC0615,4320,0
SWC0615,4320,1440
SWC0615,4320,2880
SWC0615,4320,4320
SWC0615,5760,0
SWC0615,5760,1440
SWC0615,5760,2880
SWC0615,5760,4320
SWC0615,7200,0
SWC0615,7200,1440
SWC0615,7200,2880
SWC0615,7200,4320
SWC1433,0,0
SWC1433,0,1440
SWC1433,0,2880
SWC1433,0,4320
SWC1433,1440,0
SWC1433,1440,1440
SWC1433,1440,2880
SWC1433,1440,4320
SWC1433,2880,0
SWC1433,2880,1440
SWC1433,2880,2880
SWC1433,2880,4320
SWC1433,4320,0
SWC1433,4320,1440
SWC1433,4320,2880
SWC1433,4320,4320
SWC1433,5760,0
SWC1433,5760,1440
SWC1433,5760,2880
SWC1433,5760,4320
SWC1433,7200,0
SWC1433,7200,1440
SWC1433,7200,2880
SWC1433,7200,4320
SWC0030,0,0
SWC0030,0,1440
SWC0030,0,2880
SWC0030,0,4320
SWC0030,1440,0
SWC0030,1440,1440
