,image_name,xcoord,ycoord
673,SWC0019,1496.274546,1010.5294949999999
684,SWC0019,506.73022050000003,2320.6897870000003
685,SWC0019,1290.020475,2841.8857989999997
686,SWC0019,782.5173010999999,2365.2719260000003
687,SWC0019,298.6841858,2866.032593
688,SWC0019,1485.597447,1658.6248640000001
691,SWC0019,770.9955973,2145.472052
702,SWC0019,797.4827938999999,3833.447289
706,SWC0019,664.6761677999999,3541.221744
711,SWC0019,3375.8966159999995,740.1673348999999
715,SWC0019,2574.141388,1300.538859
727,SWC0019,2269.885921,731.8435998
731,SWC0019,2396.327315,2539.879356
732,SWC0019,4229.226288,419.63060189999993
733,SWC0019,3904.259885,2526.784625
1154,SWC0055,3027.547146,4856.883504
1155,SWC0055,2111.565091,4089.388896
1159,SWC0057,1726.7714170000002,1085.149062
1168,SWC0057,2871.196341,1492.135761
1171,SWC0057,2081.813971,491.50868110000005
1174,SWC0057,2195.8229699999997,1214.3755099999998
1180,SWC0057,7096.560159999999,989.3686218
1181,SWC0057,7192.37909,1156.077047
1182,SWC0057,6827.432715000001,3074.342236
1185,SWC0057,6995.957845,1725.526034
1186,SWC0057,5778.988077,4814.5132810000005
1203,SWC0064,210.9846141,584.6178894
1206,SWC0064,720.653304,3056.195955
1208,SWC0064,1398.153514,3917.9456229999996
1209,SWC0064,1732.759799,3533.8819659999995
1218,SWC0064,3586.4922659999997,227.5499006
1219,SWC0064,3583.744629,486.930495
1220,SWC0064,2755.7694739999997,634.5528889999999
1228,SWC0064,4867.673299,2414.4296670000003
1229,SWC0064,5012.109408,4251.115218
1230,SWC0064,5965.711938,164.9316559
1231,SWC0064,6096.564265999999,401.3315037
1232,SWC0064,5620.539095,367.6246512
1234,SWC0064,6137.751814,645.3607396000001
1237,SWC0064,5724.2311,3148.296781
1401,SWC0066,100.4549774,340.27565610000005
1402,SWC0066,32.50997067,1420.127126
1403,SWC0066,480.67575310000007,3014.920748
1404,SWC0066,737.9592154000001,4472.00136
1406,SWC0066,3320.006714,2031.5902059999999
1408,SWC0066,3006.909668,2210.2783449999997
1411,SWC0066,3706.5813350000003,966.6762267999999
1412,SWC0066,3749.0647770000005,3108.132214
1413,SWC0066,5262.033885,4345.7745159999995
1414,SWC0066,6747.2150790000005,2212.409441
1415,SWC0071,370.7749329,668.2087334
1416,SWC0071,253.2286194,1368.005103
1417,SWC0071,2479.475454,1263.027405
1418,SWC0071,3410.387399,784.6014404
1419,SWC0071,2316.619537,960.0863113
1420,SWC0071,2331.495622,703.3587808999999
1421,SWC0071,2567.141495,2175.0784
1422,SWC0071,2164.823037,1888.8122280000002
1423,SWC0071,3745.7573810000004,541.1574809
1424,SWC0071,4057.2929659999995,629.0374602999999
1425,SWC0071,3770.248232,1157.750397
1426,SWC0071,3790.892177,121.79250640000001
1462,SWC0087,110.3971787,691.1360943
1463,SWC0087,1603.8847660000001,444.053387
1579,SWC0112,769.9567225,3034.590598
1580,SWC0112,400.2182895,2498.833679
1581,SWC0112,1733.071598,3740.3917460000002
1583,SWC0112,1151.098649,3290.919556
1587,SWC0112,2880.657959,3007.66903
1588,SWC0112,2189.520459,3984.889653
1589,SWC0112,4621.149436,3644.919436
1600,SWC0116,1191.337106,3418.7363880000003
1601,SWC0116,2897.4418769999997,305.4118238
1613,SWC0116,2791.720276,2957.907153
1617,SWC0116,2421.653621,2587.333509
1620,SWC0116,4132.556974,3113.181177
1621,SWC0116,4401.458911,1723.578428
