,tile_id,accepted_number_of_marks
0,SWC0001_1_1,3
1,SWC0001_1_2,9
2,SWC0001_1_3,0
3,SWC0001_2_1,2
4,SWC0001_2_2,1
5,SWC0001_2_3,5
6,SWC0001_3_1,0
7,SWC0001_3_2,0
8,SWC0001_3_3,1
9,SWC0001_4_1,0
10,SWC0001_4_2,1
11,SWC0001_4_3,0
12,SWC0002_1_1,14
13,SWC0002_1_2,72
14,SWC0002_1_3,82
15,SWC0002_2_1,19
16,SWC0002_2_2,54
17,SWC0002_2_3,120
18,SWC0002_3_1,23
19,SWC0002_3_2,7
20,SWC0002_3_3,63
21,SWC0002_4_1,2
22,SWC0002_4_2,5
23,SWC0002_4_3,19
24,SWC0003_1_1,0
25,SWC0003_1_2,0
26,SWC0003_1_3,1
27,SWC0003_2_1,37
28,SWC0003_2_2,5
29,SWC0003_2_3,8
30,SWC0003_3_1,15
31,SWC0003_3_2,14
32,SWC0003_3_3,28
33,SWC0003_4_1,3
34,SWC0003_4_2,4
35,SWC0003_4_3,26
36,SWC0004_1_1,3
37,SWC0004_1_2,1
38,SWC0004_1_3,0
39,SWC0004_2_1,7
40,SWC0004_2_2,0
41,SWC0004_2_3,1
42,SWC0004_3_1,3
43,SWC0004_3_2,0
44,SWC0004_3_3,0
45,SWC0004_4_1,2
46,SWC0004_4_2,0
47,SWC0004_4_3,2
48,SWC0005_1_1,0
49,SWC0005_1_2,2
50,SWC0005_1_3,1
51,SWC0005_2_1,0
52,SWC0005_2_2,0
53,SWC0005_2_3,0
54,SWC0005_3_1,0
55,SWC0005_3_2,5
56,SWC0005_3_3,0
57,SWC0005_4_1,0
58,SWC0005_4_2,0
59,SWC0005_4_3,0
60,SWC0009_1_1,0
61,SWC0009_1_2,0
62,SWC0009_1_3,1
63,SWC0009_2_1,0
64,SWC0009_2_2,0
65,SWC0009_2_3,3
66,SWC0009_3_1,0
67,SWC0009_3_2,0
68,SWC0009_3_3,1
69,SWC0009_4_1,0
70,SWC0009_4_2,0
71,SWC0009_4_3,1
72,SWC0018_1_1,0
73,SWC0018_1_2,0
74,SWC0018_1_3,0
75,SWC0018_2_1,0
76,SWC0018_2_2,0
77,SWC0018_2_3,0
78,SWC0018_3_1,0
79,SWC0018_3_2,0
80,SWC0018_3_3,0
81,SWC0018_4_1,2
82,SWC0018_4_2,0
83,SWC0018_4_3,0
84,SWC0019_1_1,8
85,SWC0019_1_2,21
86,SWC0019_1_3,7
87,SWC0019_2_1,22
88,SWC0019_2_2,1
89,SWC0019_2_3,0
90,SWC0019_3_1,1
91,SWC0019_3_2,1
92,SWC0019_3_3,0
93,SWC0019_4_1,0
94,SWC0019_4_2,0
95,SWC0019_4_3,0
96,SWC0025_1_1,0
97,SWC0025_1_2,0
98,SWC0025_1_3,0
99,SWC0025_2_1,0
100,SWC0025_2_2,0
101,SWC0025_2_3,1
102,SWC0025_3_1,1
103,SWC0025_3_2,6
104,SWC0025_3_3,3
105,SWC0025_4_1,6
106,SWC0025_4_2,2
107,SWC0025_4_3,1
108,SWC0026_1_1,5
109,SWC0026_1_2,2
110,SWC0026_1_3,1
111,SWC0026_2_1,1
112,SWC0026_2_2,21
113,SWC0026_2_3,14
114,SWC0026_3_1,3
115,SWC0026_3_2,0
116,SWC0026_3_3,2
117,SWC0026_4_1,1
118,SWC0026_4_2,1
119,SWC0026_4_3,8
120,SWC0027_1_1,0
121,SWC0027_1_2,0
122,SWC0027_1_3,15
123,SWC0027_2_1,7
124,SWC0027_2_2,0
125,SWC0027_2_3,14
126,SWC0027_3_1,5
127,SWC0027_3_2,4
128,SWC0027_3_3,5
129,SWC0027_4_1,0
130,SWC0027_4_2,3
131,SWC0027_4_3,4
132,SWC0028_1_1,1
133,SWC0028_1_2,1
134,SWC0028_1_3,21
135,SWC0028_2_1,2
136,SWC0028_2_2,15
137,SWC0028_2_3,3
138,SWC0028_3_1,4
139,SWC0028_3_2,3
140,SWC0028_3_3,3
141,SWC0028_4_1,0
142,SWC0028_4_2,3
143,SWC0028_4_3,0
144,SWC0029_1_1,0
145,SWC0029_1_2,0
146,SWC0029_1_3,2
147,SWC0029_2_2,0
148,SWC0029_2_3,1
149,SWC0029_3_1,3
150,SWC0029_3_2,1
151,SWC0029_3_3,3
152,SWC0029_4_1,0
153,SWC0029_4_2,1
154,SWC0029_4_3,0
155,SWC0043_1_1,0
156,SWC0043_1_2,3
157,SWC0043_1_3,1
158,SWC0043_2_1,0
159,SWC0043_2_2,8
160,SWC0043_2_3,12
161,SWC0043_3_1,0
162,SWC0043_3_2,0
163,SWC0043_3_3,1
164,SWC0043_4_1,21
165,SWC0043_4_2,1
166,SWC0043_4_3,2
167,SWC0046_1_1,0
168,SWC0046_1_2,2
169,SWC0046_1_3,0
170,SWC0046_2_1,0
171,SWC0046_2_2,0
172,SWC0046_2_3,0
173,SWC0046_3_1,0
174,SWC0046_3_2,0
175,SWC0046_3_3,0
176,SWC0046_4_1,0
177,SWC0046_4_2,17
178,SWC0046_4_3,0
179,SWC0048_1_1,43
180,SWC0048_1_2,1
181,SWC0048_1_3,0
182,SWC0048_2_1,38
183,SWC0048_2_2,10
184,SWC0048_2_3,3
185,SWC0048_3_1,6
186,SWC0048_3_2,27
187,SWC0048_3_3,0
188,SWC0048_4_1,0
189,SWC0048_4_2,13
190,SWC0048_4_3,5
191,SWC0054_1_1,0
192,SWC0054_1_2,0
193,SWC0054_1_3,0
194,SWC0054_2_1,0
195,SWC0054_2_2,1
196,SWC0054_2_3,0
197,SWC0054_3_1,2
198,SWC0054_3_2,1
199,SWC0054_3_3,0
200,SWC0054_4_1,0
201,SWC0054_4_2,2
202,SWC0054_4_3,0
203,SWC0055_1_1,0
204,SWC0055_1_2,0
205,SWC0055_1_3,0
206,SWC0055_2_1,0
207,SWC0055_2_2,0
208,SWC0055_2_3,1
209,SWC0055_3_1,0
210,SWC0055_3_2,0
211,SWC0055_3_3,0
212,SWC0055_4_1,0
213,SWC0055_4_2,0
214,SWC0055_4_3,0
215,SWC0056_1_1,0
216,SWC0056_1_2,0
217,SWC0056_1_3,0
218,SWC0056_2_1,0
219,SWC0056_2_2,0
220,SWC0056_2_3,0
221,SWC0056_3_1,0
222,SWC0056_3_2,0
223,SWC0056_3_3,0
224,SWC0056_4_1,1
225,SWC0056_4_2,0
226,SWC0056_4_3,1
227,SWC0057_1_1,9
228,SWC0057_1_2,0
229,SWC0057_1_3,0
230,SWC0057_2_1,14
231,SWC0057_2_2,0
232,SWC0057_2_3,0
233,SWC0057_3_1,0
234,SWC0057_3_2,0
235,SWC0057_3_3,0
236,SWC0057_4_1,2
237,SWC0057_4_2,3
238,SWC0057_4_3,1
239,SWC0063_1_1,2
240,SWC0063_1_2,0
241,SWC0063_1_3,0
242,SWC0063_2_1,0
243,SWC0063_2_2,3
244,SWC0063_2_3,0
245,SWC0063_3_1,5
246,SWC0063_3_2,3
247,SWC0063_3_3,2
248,SWC0063_4_1,0
249,SWC0063_4_2,1
250,SWC0063_4_3,0
251,SWC0064_1_1,1
252,SWC0064_1_2,4
253,SWC0064_1_3,2
254,SWC0064_2_1,15
255,SWC0064_2_2,2
256,SWC0064_2_3,0
257,SWC0064_3_1,2
258,SWC0064_3_2,1
259,SWC0064_3_3,1
260,SWC0064_4_1,6
261,SWC0064_4_2,3
262,SWC0064_4_3,0
263,SWC0065_1_1,0
264,SWC0065_1_2,1
265,SWC0065_1_3,2
266,SWC0065_2_1,6
267,SWC0065_2_2,2
268,SWC0065_2_3,64
269,SWC0065_3_1,2
270,SWC0065_3_2,7
271,SWC0065_3_3,23
272,SWC0065_4_1,2
273,SWC0065_4_2,35
274,SWC0065_4_3,15
275,SWC0066_1_1,2
276,SWC0066_1_2,1
277,SWC0066_1_3,1
278,SWC0066_2_1,0
279,SWC0066_2_2,6
280,SWC0066_2_3,0
281,SWC0066_3_1,1
282,SWC0066_3_2,1
283,SWC0066_3_3,1
284,SWC0066_4_1,0
285,SWC0066_4_2,1
286,SWC0066_4_3,0
287,SWC0071_1_1,2
288,SWC0071_1_2,0
289,SWC0071_1_3,0
290,SWC0071_2_1,2
291,SWC0071_2_2,2
292,SWC0071_2_3,0
293,SWC0071_3_1,4
294,SWC0071_3_2,0
295,SWC0071_3_3,0
296,SWC0071_4_1,0
297,SWC0071_4_2,0
298,SWC0071_4_3,0
299,SWC0072_1_1,0
300,SWC0072_1_2,0
301,SWC0072_1_3,0
302,SWC0072_2_1,2
303,SWC0072_2_2,0
304,SWC0072_2_3,0
305,SWC0072_3_1,2
306,SWC0072_3_2,0
307,SWC0072_3_3,2
308,SWC0072_4_1,5
309,SWC0072_4_2,12
310,SWC0072_4_3,7
311,SWC0073_1_1,0
312,SWC0073_1_2,0
